"tract","white","black","aian","asian","nhpi","other","multi","hisp"
101,1016,0,0,54,0,14,2,151
101,1016,0,0,54,0,14,2,151
101,1016,0,0,54,0,14,2,151
101,1016,0,0,54,0,14,2,151
101,1016,0,0,54,0,14,2,151
101,1016,0,0,54,0,14,2,151
101,1016,0,0,54,0,14,2,151
101,1016,0,0,54,0,14,2,151
101,1016,0,0,54,0,14,2,151
101,1016,0,0,54,0,14,2,151
101,1016,0,0,54,0,14,2,151
101,1016,0,0,54,0,14,2,151
101,1016,0,0,54,0,14,2,151
101,1016,0,0,54,0,14,2,151
101,1016,0,0,54,0,14,2,151
101,1016,0,0,54,0,14,2,151
101,1016,0,0,54,0,14,2,151
101,1016,0,0,54,0,14,2,151
101,1016,0,0,54,0,14,2,151
101,1016,0,0,54,0,14,2,151
101,1016,0,0,54,0,14,2,151
101,1016,0,0,54,0,14,2,151
101,1016,0,0,54,0,14,2,151
101,1016,0,0,54,0,14,2,151
101,1016,0,0,54,0,14,2,151
101,1016,0,0,54,0,14,2,151
101,1016,0,0,54,0,14,2,151
101,1016,0,0,54,0,14,2,151
101,1016,0,0,54,0,14,2,151
101,1016,0,0,54,0,14,2,151
101,1016,0,0,54,0,14,2,151
101,1016,0,0,54,0,14,2,151
101,1016,0,0,54,0,14,2,151
101,1016,0,0,54,0,14,2,151
101,1016,0,0,54,0,14,2,151
101,1016,0,0,54,0,14,2,151
101,1016,0,0,54,0,14,2,151
101,1016,0,0,54,0,14,2,151
101,1016,0,0,54,0,14,2,151
101,1016,0,0,54,0,14,2,151
101,1016,0,0,54,0,14,2,151
101,1016,0,0,54,0,14,2,151
101,1016,0,0,54,0,14,2,151
101,1016,0,0,54,0,14,2,151
101,1016,0,0,54,0,14,2,151
101,1016,0,0,54,0,14,2,151
101,1016,0,0,54,0,14,2,151
101,1016,0,0,54,0,14,2,151
101,1016,0,0,54,0,14,2,151
101,1016,0,0,54,0,14,2,151
101,1016,0,0,54,0,14,2,151
101,1016,0,0,54,0,14,2,151
101,1016,0,0,54,0,14,2,151
101,1016,0,0,54,0,14,2,151
101,1016,0,0,54,0,14,2,151
101,1016,0,0,54,0,14,2,151
101,1016,0,0,54,0,14,2,151
101,1016,0,0,54,0,14,2,151
101,1016,0,0,54,0,14,2,151
101,1016,0,0,54,0,14,2,151
101,1016,0,0,54,0,14,2,151
101,1016,0,0,54,0,14,2,151
102,2519,34,0,118,0,147,94,332
102,2519,34,0,118,0,147,94,332
102,2519,34,0,118,0,147,94,332
102,2519,34,0,118,0,147,94,332
102,2519,34,0,118,0,147,94,332
102,2519,34,0,118,0,147,94,332
102,2519,34,0,118,0,147,94,332
102,2519,34,0,118,0,147,94,332
102,2519,34,0,118,0,147,94,332
102,2519,34,0,118,0,147,94,332
102,2519,34,0,118,0,147,94,332
102,2519,34,0,118,0,147,94,332
102,2519,34,0,118,0,147,94,332
102,2519,34,0,118,0,147,94,332
102,2519,34,0,118,0,147,94,332
102,2519,34,0,118,0,147,94,332
102,2519,34,0,118,0,147,94,332
102,2519,34,0,118,0,147,94,332
102,2519,34,0,118,0,147,94,332
102,2519,34,0,118,0,147,94,332
102,2519,34,0,118,0,147,94,332
